color short,color name,color code,r,g,b,description,main_color
air_force_blue_raf,Air Force Blue (Raf),#5d8aa8,93,138,168,Mostly desaturated dark blue,black
air_force_blue_usaf,Air Force Blue (Usaf),#00308f,0,48,143,Dark blue,black
air_superiority_blue,Air Superiority Blue,#72a0c1,114,160,193,Slightly desaturated blue,blue
alabama_crimson,Alabama Crimson,#a32638,163,38,56,Dark red,black
alice_blue,Alice Blue,#f0f8ff,240,248,255,Very pale (mostly white) blue,white
alizarin_crimson,Alizarin Crimson,#e32636,227,38,54,Bright red,red
alloy_orange,Alloy Orange,#c46210,196,98,16,Strong orange,orange
almond,Almond,#efdecd,239,222,205,Light grayish orange,gray
amaranth,Amaranth,#e52b50,229,43,80,Bright red,red
amber,Amber,#ffbf00,255,191,0,Pure (or mostly pure) orange,orange
amber_sae_ece,Amber (Sae/Ece),#ff7e00,255,126,0,Pure (or mostly pure) orange,orange
american_rose,American Rose,#ff033e,255,3,62,Vivid red,red
amethyst,Amethyst,#9966cc,153,102,204,Moderate violet,violet
android_green,Android Green,#a4c639,164,198,57,Moderate yellow,yellow
anti_flash_white,Anti-Flash White,#f2f3f4,242,243,244,Light grayish blue,blue
antique_brass,Antique Brass,#cd9575,205,149,117,Slightly desaturated orange,orange
antique_fuchsia,Antique Fuchsia,#915c83,145,92,131,Mostly desaturated dark pink,black
antique_ruby,Antique Ruby,#841b2d,132,27,45,Dark red,black
antique_white,Antique White,#faebd7,250,235,215,Light grayish orange,gray
ao_english,Ao (English),#008000,0,128,0,Dark lime green,black
apple_green,Apple Green,#8db600,141,182,0,Strong yellow,yellow
apricot,Apricot,#fbceb1,251,206,177,Very soft orange,orange
aqua,Aqua,#00ffff,0,255,255,Pure (or mostly pure) cyan,cyan
aquamarine,Aquamarine,#7fffd4,127,255,212,Very light cyan - lime green,green
army_green,Army Green,#4b5320,75,83,32,Very dark yellow [Olive tone],black
arsenic,Arsenic,#3b444b,59,68,75,Very dark grayish blue,black
arylide_yellow,Arylide Yellow,#e9d66b,233,214,107,Soft yellow,yellow
ash_grey,Ash Grey,#b2beb5,178,190,181,Grayish cyan - lime green,green
asparagus,Asparagus,#87a96b,135,169,107,Mostly desaturated dark green,black
atomic_tangerine,Atomic Tangerine,#ff9966,255,153,102,Light orange,orange
auburn,Auburn,#a52a2a,165,42,42,Dark red,black
aureolin,Aureolin,#fdee00,253,238,0,Pure (or mostly pure) yellow,yellow
aurometalsaurus,Aurometalsaurus,#6e7f80,110,127,128,Dark grayish cyan,black
avocado,Avocado,#568203,86,130,3,Dark green,black
azure,Azure,#007fff,0,127,255,Pure (or mostly pure) blue,blue
azure_mist_web,Azure Mist/Web,#f0ffff,240,255,255,Very pale (mostly white) cyan,white
baby_blue,Baby Blue,#89cff0,137,207,240,Very soft blue,blue
baby_blue_eyes,Baby Blue Eyes,#a1caf1,161,202,241,Very soft blue,blue
baby_pink,Baby Pink,#f4c2c2,244,194,194,Very soft red,red
ball_blue,Ball Blue,#21abcd,33,171,205,Strong cyan,cyan
banana_mania,Banana Mania,#fae7b5,250,231,181,Very soft orange,orange
banana_yellow,Banana Yellow,#ffe135,255,225,53,Light yellow,yellow
barn_red,Barn Red,#7c0a02,124,10,2,Dark red,black
battleship_grey,Battleship Grey,#848482,132,132,130,Dark grayish yellow,black
bazaar,Bazaar,#98777b,152,119,123,Dark grayish red,black
beau_blue,Beau Blue,#bcd4e6,188,212,230,Light grayish blue,blue
beaver,Beaver,#9f8170,159,129,112,Mostly desaturated dark orange,black
beige,Beige,#f5f5dc,245,245,220,Light grayish yellow,yellow
big_dip_o_ruby,Big Dip O’Ruby,#9c2542,156,37,66,Dark red,black
bisque,Bisque,#ffe4c4,255,228,196,Very pale orange,orange
bistre,Bistre,#3d2b1f,61,43,31,Very dark desaturated orange,black
bittersweet,Bittersweet,#fe6f5e,254,111,94,Soft red,red
bittersweet_shimmer,Bittersweet Shimmer,#bf4f51,191,79,81,Moderate red,red
black,Black,#000000,0,0,0,Black,black
black_bean,Black Bean,#3d0c02,61,12,2,Very dark red,black
black_leather_jacket,Black Leather Jacket,#253529,37,53,41,Very dark grayish cyan - lime green,black
black_olive,Black Olive,#3b3c36,59,60,54,Very dark grayish yellow,black
blanched_almond,Blanched Almond,#ffebcd,255,235,205,Very pale orange,orange
blast_off_bronze,Blast-Off Bronze,#a57164,165,113,100,Mostly desaturated dark red,black
bleu_de_france,Bleu De France,#318ce7,49,140,231,Bright blue,blue
blizzard_blue,Blizzard Blue,#ace5ee,172,229,238,Very soft cyan,cyan
blond,Blond,#faf0be,250,240,190,Very soft yellow,yellow
blue,Blue,#0000ff,0,0,255,Pure (or mostly pure) blue,blue
blue_bell,Blue Bell,#a2a2d0,162,162,208,Grayish blue,blue
blue_crayola,Blue (Crayola),#1f75fe,31,117,254,Vivid blue,blue
blue_gray,Blue Gray,#69c,102,153,204,Moderate blue,blue
blue_green,Blue-Green,#0d98ba,13,152,186,Strong cyan,cyan
blue_munsell,Blue (Munsell),#0093af,0,147,175,Dark cyan,black
blue_ncs,Blue (Ncs),#0087bd,0,135,189,Strong blue,blue
blue_pigment,Blue (Pigment),#339,51,51,153,Dark moderate blue,black
blue_ryb,Blue (Ryb),#0247fe,2,71,254,Vivid blue,blue
blue_sapphire,Blue Sapphire,#126180,18,97,128,Dark blue,black
blue_violet,Blue-Violet,#8a2be2,138,43,226,Bright violet,violet
blush,Blush,#de5d83,222,93,131,Soft pink,pink
bole,Bole,#79443b,121,68,59,Dark moderate red,black
bondi_blue,Bondi Blue,#0095b6,0,149,182,Strong cyan,cyan
bone,Bone,#e3dac9,227,218,201,Light grayish orange,gray
boston_university_red,Boston University Red,#c00,204,0,0,Strong red,red
bottle_green,Bottle Green,#006a4e,0,106,78,Very dark cyan - lime green,black
boysenberry,Boysenberry,#873260,135,50,96,Dark moderate pink,black
brandeis_blue,Brandeis Blue,#0070ff,0,112,255,Pure (or mostly pure) blue,blue
brass,Brass,#b5a642,181,166,66,Moderate yellow,yellow
brick_red,Brick Red,#cb4154,203,65,84,Moderate red,red
bright_cerulean,Bright Cerulean,#1dacd6,29,172,214,Strong cyan,cyan
bright_green,Bright Green,#66ff00,102,255,0,Pure (or mostly pure) green,green
bright_lavender,Bright Lavender,#bf94e4,191,148,228,Very soft violet,violet
bright_maroon,Bright Maroon,#c32148,195,33,72,Strong red,red
bright_pink,Bright Pink,#ff007f,255,0,127,Pure (or mostly pure) pink,pink
bright_turquoise,Bright Turquoise,#08e8de,8,232,222,Vivid cyan,cyan
bright_ube,Bright Ube,#d19fe8,209,159,232,Very soft violet,violet
brilliant_lavender,Brilliant Lavender,#f4bbff,244,187,255,Pale magenta,magenta
brilliant_rose,Brilliant Rose,#ff55a3,255,85,163,Light pink,pink
brink_pink,Brink Pink,#fb607f,251,96,127,Soft red,red
british_racing_green,British Racing Green,#004225,0,66,37,Very dark cyan - lime green,black
bronze,Bronze,#cd7f32,205,127,50,Strong orange,orange
brown_traditional,Brown (Traditional),#964b00,150,75,0,Dark orange [Brown tone],black
brown_web,Brown (Web),#a52a2a,165,42,42,Dark red,black
bubble_gum,Bubble Gum,#ffc1cc,255,193,204,Very pale red,red
bubbles,Bubbles,#e7feff,231,254,255,Very pale (mostly white) cyan,white
buff,Buff,#f0dc82,240,220,130,Soft yellow,yellow
bulgarian_rose,Bulgarian Rose,#480607,72,6,7,Very dark red,black
burgundy,Burgundy,#800020,128,0,32,Dark red,black
burlywood,Burlywood,#deb887,222,184,135,Very soft orange,orange
burnt_orange,Burnt Orange,#c50,204,85,0,Strong orange,orange
burnt_sienna,Burnt Sienna,#e97451,233,116,81,Soft red,red
burnt_umber,Burnt Umber,#8a3324,138,51,36,Dark red,black
byzantine,Byzantine,#bd33a4,189,51,164,Moderate magenta,magenta
byzantium,Byzantium,#702963,112,41,99,Very dark magenta,black
cadet,Cadet,#536872,83,104,114,Very dark grayish blue,black
cadet_blue,Cadet Blue,#5f9ea0,95,158,160,Mostly desaturated dark cyan,black
cadet_grey,Cadet Grey,#91a3b0,145,163,176,Dark grayish blue,black
cadmium_green,Cadmium Green,#006b3c,0,107,60,Very dark cyan - lime green,black
cadmium_orange,Cadmium Orange,#ed872d,237,135,45,Bright orange,orange
cadmium_red,Cadmium Red,#e30022,227,0,34,Pure (or mostly pure) red,red
cadmium_yellow,Cadmium Yellow,#fff600,255,246,0,Pure (or mostly pure) yellow,yellow
caf_au_lait,Café Au Lait,#a67b5b,166,123,91,Dark moderate orange,black
caf_noir,Café Noir,#4b3621,75,54,33,Very dark desaturated orange,black
cal_poly_green,Cal Poly Green,#1e4d2b,30,77,43,Very dark cyan - lime green,black
cambridge_blue,Cambridge Blue,#a3c1ad,163,193,173,Grayish cyan - lime green,green
camel,Camel,#c19a6b,193,154,107,Slightly desaturated orange,orange
cameo_pink,Cameo Pink,#efbbcc,239,187,204,Very soft pink,pink
camouflage_green,Camouflage Green,#78866b,120,134,107,Dark grayish green,black
